id,name,genres
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']"
0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']"
6Ghvu1VvMGScGpOUJBAHNH,Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']"
6FBDaR13swtiWwGhX1WQsP,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,"['reggae', 'roots reggae']"
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
58lV9VcRSjABbAbfWS6skp,Bon Jovi,"['glam metal', 'rock']"
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']"
51Blml2LZPmy7TTiAg47vQ,U2,"['irish rock', 'permanent wave', 'rock']"
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
0UWZUmn7sybxMCqrw9tGa7,Juanes,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']"
7okwEbXzyT2VffBmyQBWLz,Maná,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']"
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,"['disco', 'mellow gold', 'soft rock']"
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']"
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,"['dance pop', 'pop', 'pop rap']"
5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,"['cantautor', 'latin arena pop', 'latin pop', 'mexican pop']"
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,"['dance pop', 'pop']"
6tbjWDEIzxoDsBA1FuhfPW,Madonna,"['dance pop', 'pop']"
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,"['neo soul', 'pop', 'r&b']"
0hEurMDQu99nJRq8pTxO14,John Mayer,"['neo mellow', 'singer-songwriter']"
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,"['dance pop', 'pop']"
4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,"['latin pop', 'modern salsa', 'salsa', 'tropical']"
0h1zs4CTlU9D2QtgPxptUD,Ricardo Arjona,"['cantautor', 'latin arena pop', 'latin pop']"
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,"['motown', 'soul']"
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2jSGzJw0ebJLu7OLVSOcBP,Plan B,"['reggaeton', 'trap latino', 'urbano latino']"
1qto4hHid1P71emI6Fd8xi,Aventura,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']"
23zg3TcAtWQy7J6upgbUnj,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
4PPoI9LuYeFX8V674Z1R6l,Vicente Fernández,"['mariachi', 'ranchera']"
6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernández,"['latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']"
3aQeKQSyrW4qWr35idm0cy,T-Pain,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"['baroque', 'classical', 'early music', 'german baroque']"
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,['r&b']
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,"['filmi', 'hare krishna', 'modern bollywood']"
70B80Lwx2sxti0M1Ng9e8K,Udit Narayan,"['chutney', 'filmi', 'odia pop']"
6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,"['filmi', 'modern bollywood']"
2x8vG4f0HYXzMEo3xNsoiI,Bibi und Tina,"['hoerspiel', 'kindermusik', 'kleine hoerspiel']"
6AiX12wXdXFoGJ2vk8zBjy,Yuvan Shankar Raja,"['filmi', 'kollywood']"
3t2iKODSDyzoDJw7AsD99u,Bibi Blocksberg,"['hoerspiel', 'kindermusik']"
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'permanent wave', 'rock']"
5LfGQac0EIXyAN8aUwmNAQ,The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']"
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,"['arkansas country', 'outlaw country', 'rock']"
0ECwFtbIWEVNwjlrfc6xoL,Eagles,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
3RNrq3jvMZxD9ZyoOZbQOD,Korn,"['alternative metal', 'funk metal', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
0SwO7SWeDHJijQ3XNS7xEE,MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
2pAWfrd7WFF3XhVt9GooDL,MF DOOM,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop', 'rap']"
7bu3H8JO7d0UbMoVzbo70s,The Cure,"['new wave', 'permanent wave', 'rock', 'uk post-punk']"
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,['neo mellow']
